id,booth,exhibitor,sponsorName,titleCount,titles,score,confidence,ok
"287","3F-B02","コーラス・ワールドワイド","コーラス・ワールドワイド","5","コーヒートーク トーキョー / UNDEFEATED: Genesis / あなたに花束を / モーゼス＆プレイトー：クロービル行き最終列車 / カーネル・ハーツ","1.00","high","OK"
"288","3F-B03","17-BIT","tinyBuild","9","ReStory: Chill Electronics Repairs / SpeedRunners 2: King of Speed / Hull Rupture / The King is Watching / Hozy / Potion Craft: Alchemist Simulator / Graveyard Keeper 2 / Drill Core / Silent Road","0.22","none",""
"289","3F-B04","Black Tower Studios","Black Tower Studios","1","Dr. Oops!","1.00","high","OK"
"290","3F-B05","Graph","Graph","5","Aether &amp; Iron / Be My Horde（ビー・マイ・ホード） / Descent Of Lunaris / LOVE ETERNAL（ラブエターナル） / Surfpunk（サーフパンク）","1.00","high","OK"
"291","3F-B06","CANARY ISLANDS GAMES","CANARY ISLANDS GAMES","9","Archangel: Demon Rush / Arico: Tales From the Abyss / Auditum / Master of Cladia / Microbian / OVER SAND / PlayCan / Project Node / Unicorn Wars","1.00","high","OK"
"292","3F-B07","Toge Production","Black Tower Studios","1","Dr. Oops!","0.29","none",""
"293","3F-B08","Balor Games","Gamirror Games","4","shapez 2 / Alchemy Factory / ペンポン / 退勤！パンデミック特急","0.62","medium",""
"294","3F-B09","あまた株式会社","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","1.00","high","OK"
"295","3F-B10","大阪工業大学","総合地球環境学研究所 Sustai-N-ableプロジェクト &amp; 株式会社ロフトワーク","1","ゆらぐテラリウム — Nとわたしたちの世界","0.03","none",""
"296","3F-B11","大阪情報コンピュータ専門学校","株式会社スピード","2","モーションマッチャー / 宇宙銀河ウォーズ","0.14","none",""
